item,itemLabel,participating_team,participating_teamLabel
http://www.wikidata.org/entity/Q10858420,1975 FA Cup Final,http://www.wikidata.org/entity/Q18747,West Ham United F.C.
http://www.wikidata.org/entity/Q19817594,2015 FA Cup Final,http://www.wikidata.org/entity/Q18711,Aston Villa F.C.
http://www.wikidata.org/entity/Q4561532,1924 FA Cup Final,http://www.wikidata.org/entity/Q18716,Newcastle United F.C.
http://www.wikidata.org/entity/Q4557981,1902 FA Cup Final,http://www.wikidata.org/entity/Q19607,Sheffield United F.C.
http://www.wikidata.org/entity/Q4562243,1928 FA Cup Final,http://www.wikidata.org/entity/Q19446,Blackburn Rovers F.C.
http://www.wikidata.org/entity/Q4558845,1908 FA Cup Final,http://www.wikidata.org/entity/Q18716,Newcastle United F.C.
http://www.wikidata.org/entity/Q4558845,1908 FA Cup Final,http://www.wikidata.org/entity/Q19500,Wolverhampton Wanderers F.C.
http://www.wikidata.org/entity/Q29551985,2017 FA Cup Final,http://www.wikidata.org/entity/Q9617,Arsenal F.C.
http://www.wikidata.org/entity/Q4555930,1883 FA Cup Final,http://www.wikidata.org/entity/Q880772,Blackburn Olympic F.C.
http://www.wikidata.org/entity/Q4569952,1960 FA Cup Final,http://www.wikidata.org/entity/Q19446,Blackburn Rovers F.C.
http://www.wikidata.org/entity/Q4569952,1960 FA Cup Final,http://www.wikidata.org/entity/Q19500,Wolverhampton Wanderers F.C.
http://www.wikidata.org/entity/Q10858420,1975 FA Cup Final,http://www.wikidata.org/entity/Q18708,Fulham F.C.
http://www.wikidata.org/entity/Q4561716,1925 FA Cup Final,http://www.wikidata.org/entity/Q18662,Cardiff City F.C.
